trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0102191	0.00723
0.0005	0.0461	0.0099	-5.235987755982989e-05	-2.268928027592628e-05	7.155849933176751e-05	0.98710024	37.09301758	0.98667438	0.06383038285837618	0.0102416	0.00641
0.0001	0.0596	0.0254	-0.00013439035240356338	9.773843811168246e-05	0.00011344640137963142	1.02844393	38.6466217	0.9966279	0.04161730476396031	0.0102945	0.00616
-0.002	-0.0093	0.0313	3.490658503988659e-05	-0.00020594885173533088	5.235987755982988e-06	1.05734527	39.73266983	1.02253948	0.1059597320457056	0.00951338	0.00321
-0.0043	0.0151	0.0527	-7.155849933176751e-05	-8.726646259971648e-05	-3.490658503988659e-05	1.00528777	37.77646637	0.9918765	0.061364502315156895	0.00915021	0.00219
-0.0081	0.0188	0.0718	0.00023212879051524583	0.00011344640137963142	-0.00013264502315156904	1.02070963	38.35598373	1.00980044	0.05670692959690219	0.00948191	0.00182
-0.0091	-0.0334	0.0708	0.00030194196059501896	-0.00012042771838760874	-0.00020594885173533088	1.02840877	38.64530182	1.01429714	0.07304955592153875	0.00913715	0.00132
-0.0107	0.0177	0.0716	0.00019896753472735358	-0.0001308996938995747	-0.0002251474735072685	1.03373289	38.84537125	1.00627909	0.06013225115757845	0.00908077	0.00144
-0.0155	-0.0778	0.0669	0.00039968039870670147	-0.0003769911184307752	-0.0003682644721708035	1.11779857	42.00436783	1.06485077	0.13449606435870415	0.00987691	0.00218
-0.0121	0.0087	0.0436	0.0001064650843716541	-0.00013439035240356338	-0.00026878070480712676	1.10295916	41.44673538	1.05763198	0.1449649923862968	0.0102161	0.00247
-0.018	-0.0243	0.0589	7.504915783575618e-05	-0.0004380776422505767	-0.0002478367537831948	1.02089441	38.36292648	1.00877956	0.07200235837034218	0.00901031	0.0017
-0.0154	0.0673	0.0546	-1.9198621771937625e-05	-0.00027576202181510406	-0.00017104226669544429	1.10738862	41.61318588	1.05631229	0.11516789435654584	0.00909382	0.00159
-0.0176	-0.007	0.0536	0.00016406094968746698	-0.0006789330790257941	-0.00021642082724729686	1.04316962	39.19998169	1.01321437	0.10909045946109736	0.00823933	0.00076
-0.0198	0.0755	0.0695	-3.490658503988659e-05	-0.0005550147021341969	-0.00017627825445142725	1.05536675	39.65832138	1.01767959	0.118751424220741	0.00797421	0.00089
-0.0216	0.0178	0.0893	0.00016406094968746698	-0.0004886921905584122	-0.0002495820830351891	1.05198348	39.53118515	1.01358738	0.096229693744345	0.00767714	0.00063
-0.0221	0.0236	0.1128	0.00013962634015954637	-0.0005044001538263612	-0.0001972222054753592	1.02061951	38.35259628	0.99544133	0.03442512251778497	0.00774407	0.00051
-0.0255	-0.0036	0.1207	0.00024260076602721178	-0.0006806784082777885	-0.00021642082724729686	0.97024328	36.45957184	0.97201727	0.05342256510455152	0.00787717	0.00055
-0.0263	-0.0211	0.1076	0.00033335788713091696	-0.0005585053606381855	-0.00015009831567151235	0.97806448	36.75347519	0.97493585	0.04536263401595464	0.00881523	0.0008
-0.0234	-0.0212	0.0946	0.00039968039870670147	-0.0006649704450098395	-4.537856055185256e-05	0.96403223	36.2261734	0.97306295	0.02987536755335491	0.00860667	0.00111
-0.0174	0.0451	0.0897	0.00019547687622336493	-0.0005916666164260777	1.2217304763960308e-05	1.04220307	39.16365814	1.01080015	0.09395516081914557	0.00800925	0.00093
-0.021	-0.0169	0.1035	0.0005061454830783556	-0.000890117918517108	4.18879020478639e-05	1.04885387	39.41358185	1.01056334	0.11133952531149624	0.00812376	0.0008
-0.0191	0.0441	0.1011	0.0001832595714594046	-0.000705113017805709	6.806784082777885e-05	1.02718937	38.59947968	1.00278289	0.09200353755551324	0.00826126	0.00068
-0.0231	-0.0274	0.1124	0.0003473205211468716	-0.0008726646259971648	-4.71238898038469e-05	1.02616823	38.56110382	1.00262447	0.10914021442552745	0.00767779	0.00059
-0.0246	0.0524	0.1151	0.0002373647782712288	-0.0007766715171374765	-5.235987755982989e-05	1.02953053	38.68745422	1.00883866	0.0945592419745657	0.00765085	0.00084
-0.0261	-0.0351	0.1122	0.0004537856055185257	-0.0009686577348568529	-0.00017104226669544429	1.04312027	39.19812775	1.01531245	0.1182544717051144	0.00789201	0.00071
-0.0233	0.0452	0.1082	0.00022340214425527416	-0.0007871434926494425	-0.00013439035240356338	1.02382624	38.47309875	1.00511234	0.10952748088812712	0.00755775	0.00056
-0.0265	-0.0386	0.1114	0.0003089232776029963	-0.0007993607974134029	-0.000317649923862968	1.06234956	39.92071915	1.02850511	0.10424990047855434	0.00793719	0.00127
-0.0291	-0.0393	0.1092	-0.00020594885173533088	-0.0005305800926062762	-0.0005270894341022875	1.14659905	43.08662796	1.07140495	0.05515461721923867	0.00871027	0.00349
-0.0277	0.0729	0.0961	2.792526803190927e-05	-0.0007539822368615504	-0.0003700098014227979	1.23863554	46.54515076	1.13281072	0.1574177948351002	0.00740141	0.00077
-0.0262	-0.0036	0.0864	0.00037350045992678646	-0.0011030480872604163	-0.00028623399732707005	1.06957436	40.19221115	1.03082336	0.12662084231947354	0.00710499	0.00051
-0.0251	0.0355	0.0919	0.00010471975511965978	-0.0009546951008408983	-0.0002513274122871834	0.95055056	35.71956253	0.9569974	0.06830201381332655	0.0069235	0.00052
-0.0287	-0.0399	0.0879	0.00034208453339088857	-0.001022762941668677	-0.0003961897402027128	1.02403247	38.48085022	1.00472246	0.10551474735072681	0.00727826	0.00055
-0.0345	0.0348	0.0842	-0.00015184364492350666	-0.0008779006137531476	-0.0006632251157578452	1.05948675	39.81314087	1.01985326	0.12949129408925283	0.00620914	0.00036
-0.0343	-0.0512	0.0898	0.00017104226669544429	-0.0010611601852125523	-0.0006894050545377602	1.08575785	40.80035019	1.0421617	0.11841627109291356	0.00748754	0.00056
-0.0306	-0.0101	0.089	-6.981317007977319e-05	-0.0010314895879286487	-0.0005899212871740833	0.99732202	37.47713089	0.98831781	0.06410049007113992	0.00656921	0.00047
-0.0287	-0.0395	0.085	6.283185307179586e-05	-0.0010314895879286487	-0.0005148721293383271	0.9933728	37.32872772	0.98178809	0.04568470904936625	0.00737977	0.0006
-0.0335	0.0107	0.1115	8.203047484373349e-05	-0.0006387905062299246	-0.0007033676885537148	1.07341826	40.33665848	1.03468366	0.11151966313430248	0.00755668	0.00072
-0.0324	0.0317	0.1435	-0.0	-0.000445058959258554	-0.0007714355293814937	1.04127789	39.12889099	1.01150733	0.07129149313214414	0.00777125	0.00055
-0.0335	-0.0396	0.1572	-0.00017104226669544429	-0.000932005820564972	-0.0007452555906015787	1.09490514	41.14408493	1.03742235	0.12030845333908888	0.00696474	0.0005
-0.0301	0.0493	0.1324	-0.0005358160803622592	-0.0010053096491487337	-0.0006283185307179585	1.10113585	41.37822342	1.0555975	0.14485073510670984	0.00572443	0.00026
-0.0298	0.0349	0.1406	-0.0004258603374866164	-0.001085594794740473	-0.0006283185307179585	0.96659017	36.32229614	0.9658672	0.032412044423369105	0.00591415	0.00027
-0.0311	0.0145	0.1325	-0.0005742133239061344	-0.0011397000015522971	-0.000736528944341607	0.95993936	36.07237244	0.9641345	0.04533343034274953	0.00556827	0.00023
-0.0289	0.0087	0.1128	-0.0004939281783143952	-0.0011327186845443199	-0.0006771877497737998	0.9389739	35.28453827	0.95409768	0.0350303828583762	0.00548875	0.00023
-0.0336	-0.0123	0.1174	-0.000486946861306418	-0.0010768681484805013	-0.0007278022980816354	0.99914223	37.54552841	0.97799435	0.035972320068981566	0.00643903	0.00045
-0.0332	-0.0202	0.1244	-0.000153588974175501	-0.0011623892818282235	-0.0006789330790257941	1.00594902	37.80131149	0.98949558	0.038687411976724005	0.00619876	0.00022
-0.0323	0.0087	0.1143	-0.00041189770347066176	-0.0013020156219877698	-0.000710349005561692	0.9875136	37.10855103	0.97600016	0.06136754979953024	0.00558656	0.00023
-0.034	0.0148	0.1351	-0.0003316125578789226	-0.0012671090369478833	-0.0006928957130417488	0.98232305	36.91350174	0.97180131	0.03523225115757844	0.00567007	0.00024
-0.0339	-0.0167	0.1215	-0.0003961897402027128	-0.0015184364492350666	-0.0007644542123735164	0.97494888	36.63639832	0.97414138	0.06457315469713705	0.00526243	0.00016
-0.0352	0.0157	0.1134	-0.0003577924966588376	-0.0015341444125030156	-0.0007033676885537148	0.97174865	36.51613998	0.96915945	0.04755958653158129	0.00502479	0.0002
-0.0394	0.0263	0.1264	-0.0003473205211468716	-0.001439896632895322	-0.0008063421144213803	0.9345569	35.11855698	0.95161721	0.03818470904936626	0.00562817	0.00023
-0.0437	-0.029	0.1369	-0.0002199114857512855	-0.0016720254234105676	-0.0008447393579652555	0.98812401	37.1314888	0.98381542	0.08999675347273532	0.00563514	0.00029
-0.0436	0.0363	0.1359	-0.0004188790204786391	-0.0013980087308474581	-0.0008656833089891874	0.99662656	37.4509964	0.98521365	0.09109640891571975	0.00526732	0.00028
-0.0433	-0.0445	0.1097	-0.0002652900463031381	-0.001467821900927231	-0.00102799892942466	1.04326832	39.20368958	1.00922726	0.12658588823453734	0.00605631	0.00068
-0.0349	0.0461	0.0716	-0.000778416846389471	-0.0007976154681614085	-0.0012932889757277981	1.1900599	44.7197876	1.1051841	0.2095311639577647	0.00608206	0.00069
-0.0226	0.0672	0.1629	-0.00017278759594743863	-0.00011519173063162575	-0.0006492624817418905	1.33739495	50.25630951	1.19428991	0.22130397409788607	0.00989765	0.00628
-0.0258	-0.0044	0.1508	-0.0003438298626428829	-0.00033684854563490564	-0.0007906341511534313	1.07179928	40.27581787	1.04072587	0.11360353755551324	0.00850236	0.00182
-0.0298	-0.0473	0.175	-0.00043458698374658803	-0.0006981317007977319	-0.0007871434926494425	1.02952743	38.68733597	1.01141552	0.093876546738526	0.00856179	0.00189
-0.0448	-0.0494	0.2571	-0.001069886831472524	-0.0013840460968315032	-0.0011239920382843482	1.21709728	45.73579407	1.13977842	0.18210313946973064	0.0105655	0.00734
-0.0513	0.005	0.2463	-0.0014905111812031574	-0.0019303341527057286	-0.0011379546723003027	1.11881244	42.04246902	1.07524861	0.12074375198104066	0.00878292	0.00431
-0.047	0.0384	0.1986	-0.0017139133254584315	-0.002078687139125246	-0.001054178868204575	1.03960288	39.0659523	1.02050781	0.10817654673852593	0.00620335	0.00089
-0.047	0.0695	0.1869	-0.0018273597268380628	-0.0019216075064457567	-0.00102799892942466	0.97163016	36.51168823	0.97698577	0.05763529864195178	0.00621063	0.00079
-0.0449	0.065	0.1581	-0.0017697638615222502	-0.0018238690683340744	-0.0010000736613927507	0.99221492	37.28521729	0.98633349	0.04456297857297024	0.00483197	0.00025
-0.0465	0.0387	0.1347	-0.0018675022996339327	-0.0018168877513260971	-0.0011466813185602744	0.98532563	37.02633286	0.98531319	0.06386637061435918	0.00459707	0.0005
-0.0545	0.0476	0.1332	-0.0021886428820008896	-0.0015184364492350666	-0.0015550883635269475	1.00828683	37.88916397	1.00672729	0.069799946471233	0.00550234	0.00127
-0.0524	0.0768	0.1409	-0.002139773662945048	-0.0015865042900628454	-0.0013840460968315032	1.0119437	38.02658081	1.00038079	0.05339896632895321	0.00567251	0.00085
-0.0478	-0.0177	0.1321	-0.002141518992197042	-0.0018622663118779497	-0.0012356931104119853	1.11848068	42.03000259	1.06427924	0.12919301687433082	0.00535542	0.0005
-0.0469	0.0065	0.1315	-0.0023963370629882146	-0.0018744836166419098	-0.0011431906600562858	1.00076389	37.6064682	0.9898066	0.043676891295541594	0.00476623	0.00025
-0.0484	-0.0211	0.1258	-0.0022846359908605773	-0.0019949113350295183	-0.0011379546723003027	0.9895134	37.18370056	0.9821217	0.04666823891356145	0.00420201	0.00025
-0.0494	0.0013	0.1163	-0.0025499260371637153	-0.0022444934180647076	-0.0010890854532444615	0.96997619	36.44953537	0.96782042	0.06108706741970842	0.0037297	0.00017
-0.0479	0.0013	0.1057	-0.0024050637092481865	-0.002176425577236929	-0.0010367255756846318	0.95057815	35.72060013	0.95988186	0.025364502315156866	0.00419843	0.00027
-0.0452	0.0351	0.0859	-0.002766346864411012	-0.00205599785884932	-0.00102799892942466	0.99838406	37.51704025	0.98756185	0.0808218759905203	0.00417918	0.00023
-0.0495	0.0428	0.095	-0.0023649211364523163	-0.0021327923459370708	-0.0010576695267085637	1.00581515	37.79628372	0.98550728	0.046494540616517505	0.00400919	0.00032
-0.0515	0.0703	0.0859	-0.0025289820861397836	-0.0022427480888127134	-0.0011397000015522971	1.00830913	37.88999939	0.99382402	0.05640235837034216	0.00417167	0.00039
-0.0506	0.0555	0.0881	-0.002281145332356589	-0.002384119758224254	-0.0010803588069844899	0.99405003	37.35417557	0.98301282	0.04032748088812711	0.00392681	0.00024
-0.0501	0.0771	0.1028	-0.0024975661596038853	-0.0022497294058206906	-0.0010471975511965976	0.99581355	37.42044449	0.97747899	0.0559986217719376	0.00400287	0.00026
-0.0476	0.0145	0.0949	-0.0023788837704682713	-0.002309070600388498	-0.0009861110273767962	1.00935078	37.929142	0.99152087	0.08495550537616113	0.00421876	0.00027
-0.0469	0.0597	0.09	-0.002670353755551324	-0.0023876104167282427	-0.0009407324668249436	0.98747295	37.10702515	0.9826089	0.07156941809873252	0.00403798	0.00035
-0.0494	-0.0049	0.0885	-0.0022689280275926286	-0.0026720990848033187	-0.000900589894029074	1.03577542	38.92212296	1.00448951	0.10490284844148207	0.00396842	0.00025
-0.049	0.0335	0.0986	-0.0023701571242082994	-0.0022933626371205488	-0.0008831366015091308	0.99604517	37.42914963	0.98519692	0.0737709418409192	0.00393891	0.00029
-0.0508	-0.0136	0.0853	-0.002169444260228951	-0.002595304597715568	-0.0009250245035569946	1.04602742	39.30736923	1.00694737	0.08942713633111157	0.00385487	0.00029
-0.0468	0.0502	0.0955	-0.0023073252711365037	-0.002336995868420407	-0.0008377580409572782	1.02075291	38.35761261	0.9916022	0.10217281014012151	0.00359601	0.00021
-0.0457	0.007	0.0951	-0.0021275563581810873	-0.0026040312439755396	-0.0008168140899333463	0.98940539	37.17964172	0.97488369	0.06808741197672406	0.00350863	0.00017
-0.0456	0.0501	0.0935	-0.0022322761133007477	-0.002542944720155738	-0.0007766715171374765	0.97592235	36.67297745	0.96741212	0.055097442586766576	0.00343323	0.00016
-0.0471	0.0335	0.1014	-0.002331759880664424	-0.0024713862208239705	-0.0008779006137531476	0.9729383	36.56084442	0.97098746	0.03961356816555574	0.00351965	0.00021
-0.0477	0.0366	0.1016	-0.002261946710584651	-0.002457423586808016	-0.0008185594191853405	0.95105457	35.7385025	0.95839232	0.011055849933176714	0.00334507	0.00029
-0.0488	0.0587	0.0914	-0.002309070600388498	-0.0025045474766118626	-0.0008255407361933179	0.96992552	36.44763184	0.96812495	0.03846145483078356	0.00355005	0.00018
-0.0496	0.0335	0.0835	-0.002145009650701031	-0.002464404903815993	-0.0008255407361933179	1.00291145	37.68716812	0.98590848	0.04411017612416681	0.00389856	0.00019
